Workload,Work-life Balance,Job Satisfaction,Interpersonal Relationships,Job Security,Recognition and Appreciation,Coping Mechanisms,Physical Symptoms,Mental Fatigue,Job Future,Stress Level
Very Manageable,Never,Satisfied,Very Positive,Neutral,Often,Sometimes,Never,Sometimes,Neutral,Normal
Extremely Overwhelming,Always,Satisfied,Generally Positive,Secure,Often,Never,Sometimes,Never,Very Optimistic,Mild
Very Manageable,Always,Dissatisfied,Neutral,Insecure,Always,Rarely,Rarely,Never,Neutral,Mild
Overwhelming,Never,Dissatisfied,Neutral,Insecure,Always,Always,Never,Often,Very Pessimistic,Moderate
Very Manageable,Always,Very Dissatisfied,Generally Positive,Very Secure,Sometimes,Often,Always,Often,Very Optimistic,Moderate
Very Manageable,Never,Neutral,Generally Negative,Very Insecure,Always,Always,Always,Always,Neutral,Moderate
Very Manageable,Sometimes,Satisfied,Very Positive,Neutral,Sometimes,Never,Rarely,Sometimes,Very Pessimistic,Mild
Extremely Overwhelming,Always,Neutral,Generally Positive,Insecure,Often,Sometimes,Sometimes,Rarely,Pessimistic,Moderate
Manageable,Often,Dissatisfied,Generally Negative,Very Secure,Always,Rarely,Never,Often,Very Optimistic,Mild
Extremely Overwhelming,Rarely,Satisfied,Generally Negative,Very Secure,Rarely,Always,Often,Rarely,Optimistic,Moderate
Very Manageable,Rarely,Very Satisfied,Very Negative,Very Secure,Sometimes,Often,Often,Rarely,Optimistic,Mild
Very Manageable,Often,Very Satisfied,Neutral,Neutral,Rarely,Never,Always,Never,Very Pessimistic,Mild
Overwhelming,Sometimes,Neutral,Very Negative,Very Insecure,Rarely,Sometimes,Rarely,Never,Very Pessimistic,Moderate
Manageable,Sometimes,Very Satisfied,Neutral,Very Secure,Often,Sometimes,Often,Often,Very Pessimistic,Mild
Manageable,Rarely,Neutral,Generally Negative,Very Insecure,Sometimes,Never,Never,Rarely,Optimistic,Mild
Overwhelming,Sometimes,Very Dissatisfied,Generally Positive,Neutral,Often,Rarely,Never,Often,Very Optimistic,Mild
Manageable,Never,Satisfied,Generally Negative,Very Secure,Never,Never,Always,Always,Neutral,Mild
Neutral,Never,Dissatisfied,Generally Negative,Secure,Sometimes,Sometimes,Rarely,Often,Very Optimistic,Mild
Very Manageable,Sometimes,Neutral,Neutral,Insecure,Sometimes,Never,Often,Sometimes,Very Optimistic,Mild
Extremely Overwhelming,Always,Neutral,Very Negative,Neutral,Rarely,Sometimes,Always,Rarely,Neutral,Moderate
Extremely Overwhelming,Always,Satisfied,Generally Negative,Secure,Never,Always,Never,Sometimes,Very Optimistic,Moderate
Very Manageable,Rarely,Very Dissatisfied,Neutral,Secure,Often,Never,Often,Never,Neutral,Mild
Overwhelming,Often,Satisfied,Neutral,Secure,Rarely,Often,Often,Rarely,Very Optimistic,Mild
Extremely Overwhelming,Rarely,Satisfied,Very Negative,Neutral,Never,Rarely,Always,Rarely,Optimistic,Moderate
Manageable,Rarely,Satisfied,Very Positive,Secure,Often,Often,Sometimes,Never,Pessimistic,Mild
Very Manageable,Never,Very Satisfied,Very Negative,Insecure,Rarely,Rarely,Often,Always,Neutral,Mild
Extremely Overwhelming,Sometimes,Very Satisfied,Neutral,Insecure,Never,Sometimes,Always,Often,Optimistic,Moderate
Manageable,Rarely,Dissatisfied,Neutral,Neutral,Rarely,Rarely,Often,Often,Very Optimistic,Mild
Extremely Overwhelming,Always,Dissatisfied,Neutral,Very Insecure,Often,Sometimes,Rarely,Never,Pessimistic,Moderate
Extremely Overwhelming,Often,Very Satisfied,Very Negative,Very Secure,Often,Sometimes,Often,Always,Neutral,Moderate
Manageable,Rarely,Dissatisfied,Very Positive,Neutral,Rarely,Sometimes,Rarely,Never,Very Pessimistic,Mild
Extremely Overwhelming,Often,Satisfied,Very Negative,Very Insecure,Often,Rarely,Often,Rarely,Neutral,Moderate
Neutral,Often,Dissatisfied,Neutral,Neutral,Sometimes,Sometimes,Never,Sometimes,Neutral,Mild
Overwhelming,Always,Satisfied,Very Negative,Very Insecure,Often,Always,Always,Often,Optimistic,Moderate
Extremely Overwhelming,Sometimes,Dissatisfied,Neutral,Insecure,Always,Often,Rarely,Never,Pessimistic,Moderate
Extremely Overwhelming,Rarely,Neutral,Very Negative,Secure,Never,Never,Often,Never,Very Optimistic,Mild
Neutral,Often,Very Satisfied,Very Positive,Very Insecure,Never,Always,Always,Never,Very Pessimistic,Moderate
Manageable,Often,Neutral,Very Positive,Very Secure,Sometimes,Sometimes,Never,Rarely,Neutral,Mild
Overwhelming,Rarely,Very Dissatisfied,Generally Negative,Secure,Rarely,Rarely,Always,Never,Very Pessimistic,Moderate
Neutral,Never,Satisfied,Neutral,Insecure,Rarely,Never,Rarely,Often,Neutral,Mild
Neutral,Rarely,Dissatisfied,Very Positive,Very Insecure,Never,Sometimes,Sometimes,Often,Neutral,Moderate
Very Manageable,Always,Neutral,Very Negative,Very Secure,Never,Often,Never,Never,Pessimistic,Mild
Very Manageable,Sometimes,Very Dissatisfied,Neutral,Insecure,Never,Rarely,Never,Often,Neutral,Moderate
Manageable,Sometimes,Dissatisfied,Neutral,Secure,Never,Never,Often,Rarely,Very Pessimistic,Moderate
Neutral,Rarely,Very Satisfied,Very Positive,Insecure,Often,Never,Often,Rarely,Neutral,Mild
Extremely Overwhelming,Never,Very Satisfied,Generally Positive,Insecure,Often,Often,Always,Rarely,Optimistic,Mild
Very Manageable,Sometimes,Very Dissatisfied,Very Negative,Very Secure,Sometimes,Often,Never,Sometimes,Neutral,Mild
Extremely Overwhelming,Often,Very Dissatisfied,Very Positive,Insecure,Rarely,Rarely,Sometimes,Always,Optimistic,Moderate
Overwhelming,Rarely,Neutral,Neutral,Insecure,Sometimes,Often,Always,Never,Optimistic,Moderate
Extremely Overwhelming,Rarely,Very Satisfied,Neutral,Secure,Sometimes,Always,Never,Never,Pessimistic,Mild
Very Manageable,Sometimes,Satisfied,Generally Positive,Very Secure,Sometimes,Sometimes,Rarely,Sometimes,Pessimistic,Mild
Overwhelming,Sometimes,Satisfied,Generally Negative,Secure,Never,Sometimes,Rarely,Rarely,Very Pessimistic,Moderate
Neutral,Always,Neutral,Very Negative,Secure,Never,Rarely,Sometimes,Always,Very Optimistic,Moderate
Manageable,Rarely,Very Dissatisfied,Generally Negative,Very Secure,Sometimes,Sometimes,Never,Rarely,Very Pessimistic,Mild
Extremely Overwhelming,Often,Satisfied,Very Positive,Very Insecure,Never,Rarely,Rarely,Sometimes,Very Pessimistic,Moderate
Very Manageable,Always,Dissatisfied,Neutral,Neutral,Rarely,Sometimes,Sometimes,Always,Optimistic,Moderate
Very Manageable,Sometimes,Satisfied,Generally Positive,Very Insecure,Never,Often,Often,Rarely,Pessimistic,Moderate
Manageable,Never,Very Satisfied,Very Positive,Insecure,Never,Sometimes,Rarely,Often,Optimistic,Mild
Overwhelming,Never,Dissatisfied,Very Positive,Secure,Sometimes,Rarely,Sometimes,Sometimes,Neutral,Mild
Extremely Overwhelming,Rarely,Neutral,Very Positive,Neutral,Always,Always,Always,Often,Very Optimistic,Mild
Manageable,Always,Very Satisfied,Very Negative,Very Insecure,Rarely,Always,Always,Often,Very Optimistic,Moderate
Overwhelming,Often,Satisfied,Very Positive,Very Insecure,Sometimes,Never,Sometimes,Never,Pessimistic,Mild
Extremely Overwhelming,Sometimes,Dissatisfied,Generally Negative,Insecure,Always,Rarely,Often,Rarely,Very Optimistic,Mild
Overwhelming,Sometimes,Satisfied,Very Negative,Insecure,Never,Often,Sometimes,Rarely,Pessimistic,Moderate
Overwhelming,Often,Very Dissatisfied,Neutral,Neutral,Never,Rarely,Often,Often,Very Pessimistic,Moderate
Manageable,Never,Dissatisfied,Generally Negative,Very Insecure,Always,Rarely,Never,Sometimes,Optimistic,Mild
Overwhelming,Always,Very Satisfied,Very Negative,Secure,Always,Never,Sometimes,Rarely,Pessimistic,Mild
Extremely Overwhelming,Sometimes,Satisfied,Very Negative,Very Secure,Sometimes,Rarely,Never,Always,Pessimistic,Moderate
Manageable,Never,Very Satisfied,Very Positive,Very Insecure,Often,Rarely,Sometimes,Never,Neutral,Mild
Very Manageable,Sometimes,Satisfied,Very Positive,Secure,Rarely,Sometimes,Rarely,Often,Optimistic,Mild
Manageable,Never,Very Dissatisfied,Generally Positive,Very Insecure,Rarely,Never,Often,Often,Pessimistic,Moderate
Neutral,Always,Very Dissatisfied,Very Positive,Insecure,Never,Never,Never,Often,Very Pessimistic,Moderate
Manageable,Never,Satisfied,Generally Positive,Neutral,Often,Always,Never,Never,Pessimistic,Mild
Very Manageable,Sometimes,Very Dissatisfied,Neutral,Neutral,Sometimes,Rarely,Often,Often,Very Optimistic,Mild
Very Manageable,Always,Neutral,Very Negative,Very Secure,Sometimes,Always,Rarely,Often,Neutral,Moderate
Very Manageable,Often,Very Dissatisfied,Very Negative,Very Secure,Always,Rarely,Sometimes,Always,Optimistic,Mild
Overwhelming,Always,Neutral,Generally Positive,Very Insecure,Never,Never,Always,Sometimes,Very Pessimistic,Moderate
Overwhelming,Never,Satisfied,Generally Positive,Insecure,Never,Sometimes,Often,Rarely,Pessimistic,Moderate
Extremely Overwhelming,Often,Neutral,Neutral,Neutral,Never,Often,Never,Rarely,Neutral,Moderate
Extremely Overwhelming,Rarely,Satisfied,Generally Positive,Very Insecure,Never,Rarely,Often,Often,Very Optimistic,Moderate
Manageable,Sometimes,Neutral,Very Negative,Insecure,Never,Never,Rarely,Sometimes,Neutral,Moderate
Extremely Overwhelming,Sometimes,Neutral,Very Negative,Insecure,Always,Never,Rarely,Sometimes,Pessimistic,Moderate
Extremely Overwhelming,Sometimes,Neutral,Generally Positive,Very Secure,Always,Always,Never,Always,Very Optimistic,Mild
Extremely Overwhelming,Sometimes,Very Satisfied,Generally Negative,Very Secure,Always,Rarely,Often,Rarely,Very Optimistic,Mild
Manageable,Sometimes,Dissatisfied,Very Negative,Very Insecure,Always,Never,Always,Always,Very Pessimistic,Moderate
Overwhelming,Rarely,Very Dissatisfied,Very Negative,Very Secure,Never,Always,Sometimes,Sometimes,Pessimistic,Moderate
Overwhelming,Rarely,Dissatisfied,Generally Negative,Secure,Rarely,Sometimes,Sometimes,Often,Neutral,Moderate
Neutral,Always,Very Satisfied,Generally Positive,Insecure,Never,Never,Always,Never,Neutral,Mild
Very Manageable,Rarely,Satisfied,Generally Negative,Secure,Sometimes,Always,Sometimes,Rarely,Neutral,Mild
Neutral,Never,Very Satisfied,Neutral,Very Secure,Always,Often,Always,Never,Pessimistic,Mild
Extremely Overwhelming,Sometimes,Very Dissatisfied,Very Negative,Very Secure,Always,Always,Sometimes,Always,Neutral,Moderate
Neutral,Often,Satisfied,Generally Positive,Very Secure,Always,Never,Always,Rarely,Very Pessimistic,Mild
Overwhelming,Rarely,Satisfied,Very Negative,Very Insecure,Never,Rarely,Always,Never,Neutral,Moderate
Neutral,Often,Neutral,Generally Positive,Secure,Rarely,Sometimes,Never,Often,Very Pessimistic,Moderate
Overwhelming,Always,Very Dissatisfied,Generally Positive,Neutral,Sometimes,Always,Rarely,Never,Pessimistic,Moderate
Overwhelming,Sometimes,Dissatisfied,Generally Negative,Insecure,Rarely,Sometimes,Sometimes,Rarely,Optimistic,Moderate
Manageable,Often,Satisfied,Generally Positive,Very Insecure,Often,Never,Sometimes,Sometimes,Optimistic,Mild
Extremely Overwhelming,Sometimes,Satisfied,Generally Positive,Insecure,Never,Always,Never,Sometimes,Pessimistic,Moderate
Extremely Overwhelming,Sometimes,Satisfied,Very Negative,Insecure,Always,Sometimes,Rarely,Often,Optimistic,Moderate
Overwhelming,Always,Very Dissatisfied,Very Positive,Secure,Sometimes,Never,Sometimes,Never,Very Optimistic,Mild
Overwhelming,Rarely,Very Satisfied,Generally Positive,Insecure,Never,Rarely,Sometimes,Always,Very Optimistic,Mild
Extremely Overwhelming,Sometimes,Dissatisfied,Generally Positive,Neutral,Sometimes,Sometimes,Always,Often,Very Optimistic,Moderate
Extremely Overwhelming,Often,Dissatisfied,Neutral,Insecure,Always,Always,Never,Always,Neutral,Moderate
Manageable,Never,Dissatisfied,Very Positive,Very Secure,Never,Always,Sometimes,Always,Neutral,Mild
Very Manageable,Rarely,Very Dissatisfied,Neutral,Very Secure,Rarely,Never,Often,Sometimes,Neutral,Mild
Overwhelming,Rarely,Neutral,Neutral,Neutral,Rarely,Often,Never,Never,Optimistic,Mild
Overwhelming,Often,Satisfied,Generally Negative,Insecure,Sometimes,Always,Rarely,Sometimes,Very Optimistic,Moderate
Neutral,Sometimes,Very Satisfied,Very Positive,Very Secure,Often,Sometimes,Rarely,Never,Pessimistic,Mild
Manageable,Always,Dissatisfied,Very Positive,Neutral,Sometimes,Sometimes,Never,Never,Optimistic,Mild
Manageable,Rarely,Dissatisfied,Neutral,Very Insecure,Rarely,Often,Always,Sometimes,Neutral,Moderate
Overwhelming,Rarely,Dissatisfied,Very Positive,Very Secure,Often,Sometimes,Never,Rarely,Very Optimistic,Mild
Overwhelming,Never,Dissatisfied,Generally Negative,Secure,Rarely,Never,Always,Rarely,Optimistic,Mild
Manageable,Often,Very Satisfied,Neutral,Neutral,Rarely,Never,Always,Rarely,Optimistic,Mild
Neutral,Rarely,Neutral,Generally Positive,Insecure,Always,Often,Rarely,Always,Neutral,Mild
Neutral,Sometimes,Very Satisfied,Neutral,Secure,Always,Sometimes,Rarely,Always,Very Optimistic,Mild
Very Manageable,Never,Very Dissatisfied,Generally Negative,Insecure,Rarely,Sometimes,Rarely,Sometimes,Very Pessimistic,Moderate
Very Manageable,Sometimes,Dissatisfied,Generally Negative,Neutral,Often,Never,Always,Rarely,Pessimistic,Mild
Extremely Overwhelming,Rarely,Neutral,Generally Negative,Very Insecure,Often,Always,Rarely,Never,Neutral,Moderate
Very Manageable,Rarely,Very Dissatisfied,Very Negative,Neutral,Always,Never,Sometimes,Never,Very Pessimistic,Mild
Very Manageable,Never,Satisfied,Generally Negative,Very Secure,Rarely,Rarely,Always,Sometimes,Optimistic,Mild
Overwhelming,Sometimes,Neutral,Generally Negative,Secure,Never,Sometimes,Always,Never,Neutral,Moderate
Manageable,Always,Very Dissatisfied,Very Negative,Insecure,Rarely,Often,Sometimes,Sometimes,Very Pessimistic,Moderate
Manageable,Often,Neutral,Generally Positive,Neutral,Never,Sometimes,Sometimes,Always,Very Optimistic,Moderate
Neutral,Often,Satisfied,Generally Negative,Secure,Rarely,Never,Never,Rarely,Very Pessimistic,Mild
Very Manageable,Rarely,Very Satisfied,Generally Positive,Neutral,Never,Often,Often,Always,Very Pessimistic,Moderate
Very Manageable,Always,Very Dissatisfied,Very Positive,Very Insecure,Never,Sometimes,Never,Often,Neutral,Moderate
Neutral,Rarely,Very Dissatisfied,Generally Negative,Very Secure,Sometimes,Sometimes,Sometimes,Often,Optimistic,Mild
Extremely Overwhelming,Never,Very Dissatisfied,Very Negative,Very Insecure,Often,Always,Sometimes,Rarely,Very Optimistic,Moderate
Extremely Overwhelming,Sometimes,Dissatisfied,Very Negative,Insecure,Often,Rarely,Rarely,Sometimes,Very Optimistic,Moderate
Very Manageable,Never,Dissatisfied,Generally Positive,Neutral,Sometimes,Sometimes,Always,Rarely,Pessimistic,Mild
Extremely Overwhelming,Rarely,Very Dissatisfied,Very Negative,Secure,Often,Often,Never,Rarely,Neutral,Moderate
Overwhelming,Sometimes,Very Dissatisfied,Very Positive,Insecure,Sometimes,Sometimes,Always,Often,Very Pessimistic,Moderate
Very Manageable,Always,Very Satisfied,Generally Positive,Neutral,Sometimes,Never,Rarely,Never,Pessimistic,Mild
Neutral,Often,Dissatisfied,Generally Negative,Insecure,Always,Sometimes,Sometimes,Rarely,Very Pessimistic,Moderate
Extremely Overwhelming,Sometimes,Neutral,Generally Positive,Insecure,Never,Sometimes,Sometimes,Sometimes,Very Optimistic,Moderate
Very Manageable,Never,Dissatisfied,Very Negative,Very Insecure,Sometimes,Rarely,Rarely,Rarely,Optimistic,Mild
Overwhelming,Often,Neutral,Generally Negative,Insecure,Never,Sometimes,Never,Always,Very Optimistic,Moderate
Manageable,Sometimes,Neutral,Generally Negative,Secure,Never,Sometimes,Sometimes,Rarely,Pessimistic,Moderate
Manageable,Often,Dissatisfied,Generally Negative,Insecure,Rarely,Always,Sometimes,Rarely,Optimistic,Moderate
Extremely Overwhelming,Rarely,Neutral,Neutral,Insecure,Rarely,Always,Often,Never,Neutral,Moderate
Overwhelming,Always,Satisfied,Generally Negative,Very Secure,Always,Never,Never,Often,Very Optimistic,Mild
Overwhelming,Sometimes,Neutral,Very Positive,Very Insecure,Rarely,Rarely,Often,Rarely,Very Optimistic,Mild
Very Manageable,Never,Very Dissatisfied,Generally Positive,Very Insecure,Rarely,Always,Rarely,Rarely,Neutral,Mild
Neutral,Never,Satisfied,Generally Negative,Insecure,Rarely,Never,Always,Never,Very Pessimistic,Mild
Manageable,Rarely,Satisfied,Generally Positive,Insecure,Never,Never,Never,Sometimes,Very Optimistic,Mild
Manageable,Often,Very Satisfied,Generally Negative,Very Insecure,Rarely,Sometimes,Sometimes,Sometimes,Very Optimistic,Mild
Neutral,Rarely,Very Satisfied,Generally Positive,Neutral,Always,Never,Never,Sometimes,Optimistic,Normal
Manageable,Sometimes,Neutral,Neutral,Very Secure,Often,Often,Often,Rarely,Neutral,Mild
Overwhelming,Sometimes,Satisfied,Very Positive,Insecure,Often,Always,Never,Sometimes,Very Pessimistic,Mild
Very Manageable,Sometimes,Satisfied,Very Positive,Secure,Often,Never,Often,Sometimes,Very Optimistic,Normal
Manageable,Sometimes,Satisfied,Generally Negative,Very Secure,Never,Rarely,Always,Always,Very Optimistic,Mild
Overwhelming,Often,Dissatisfied,Generally Positive,Neutral,Never,Rarely,Always,Rarely,Very Optimistic,Moderate
Overwhelming,Sometimes,Satisfied,Generally Positive,Neutral,Always,Always,Often,Often,Very Optimistic,Mild
Extremely Overwhelming,Always,Very Dissatisfied,Very Negative,Neutral,Never,Often,Never,Sometimes,Neutral,Moderate
Extremely Overwhelming,Often,Dissatisfied,Very Negative,Neutral,Always,Never,Often,Never,Very Optimistic,Mild
Overwhelming,Never,Very Satisfied,Very Negative,Secure,Often,Never,Never,Never,Very Pessimistic,Mild
Very Manageable,Never,Very Satisfied,Generally Positive,Neutral,Often,Never,Never,Always,Very Pessimistic,Mild
Neutral,Rarely,Neutral,Neutral,Very Secure,Always,Sometimes,Often,Sometimes,Optimistic,Mild
Extremely Overwhelming,Often,Very Dissatisfied,Very Positive,Insecure,Often,Never,Never,Never,Very Pessimistic,Mild
Very Manageable,Sometimes,Dissatisfied,Very Negative,Insecure,Rarely,Never,Rarely,Rarely,Neutral,Mild
Neutral,Rarely,Very Satisfied,Generally Positive,Very Insecure,Rarely,Never,Rarely,Often,Very Pessimistic,Mild
Very Manageable,Always,Very Satisfied,Generally Positive,Insecure,Rarely,Always,Often,Sometimes,Very Optimistic,Mild
Overwhelming,Rarely,Very Dissatisfied,Very Negative,Insecure,Never,Often,Always,Always,Pessimistic,Severe
Manageable,Always,Dissatisfied,Very Negative,Very Secure,Rarely,Sometimes,Often,Always,Pessimistic,Moderate
Neutral,Rarely,Satisfied,Very Negative,Very Insecure,Never,Always,Often,Often,Very Optimistic,Moderate
Neutral,Always,Neutral,Generally Negative,Secure,Never,Never,Rarely,Sometimes,Very Pessimistic,Moderate
Manageable,Sometimes,Very Dissatisfied,Generally Negative,Very Insecure,Always,Rarely,Often,Never,Very Optimistic,Mild
Extremely Overwhelming,Never,Dissatisfied,Neutral,Insecure,Rarely,Always,Rarely,Never,Very Pessimistic,Moderate
Overwhelming,Sometimes,Satisfied,Generally Positive,Insecure,Always,Always,Often,Rarely,Very Optimistic,Mild
Overwhelming,Never,Dissatisfied,Generally Negative,Very Insecure,Often,Never,Always,Sometimes,Optimistic,Moderate
Overwhelming,Never,Very Satisfied,Very Negative,Neutral,Rarely,Often,Often,Often,Neutral,Moderate
Extremely Overwhelming,Rarely,Very Dissatisfied,Generally Positive,Very Insecure,Never,Always,Rarely,Never,Very Optimistic,Moderate
Neutral,Sometimes,Very Dissatisfied,Generally Negative,Very Secure,Rarely,Often,Sometimes,Rarely,Very Optimistic,Mild
Overwhelming,Rarely,Neutral,Very Positive,Insecure,Sometimes,Never,Often,Rarely,Optimistic,Mild
Neutral,Never,Neutral,Generally Positive,Very Secure,Never,Rarely,Sometimes,Never,Very Optimistic,Mild
Neutral,Often,Dissatisfied,Generally Negative,Very Secure,Sometimes,Never,Always,Never,Very Pessimistic,Moderate
Extremely Overwhelming,Often,Satisfied,Very Positive,Insecure,Sometimes,Often,Never,Often,Neutral,Moderate
Overwhelming,Rarely,Neutral,Neutral,Secure,Rarely,Always,Often,Never,Very Optimistic,Mild
Very Manageable,Always,Very Dissatisfied,Very Positive,Very Secure,Rarely,Sometimes,Never,Always,Optimistic,Mild
Very Manageable,Rarely,Very Satisfied,Generally Negative,Neutral,Always,Sometimes,Sometimes,Always,Optimistic,Mild
Overwhelming,Rarely,Neutral,Neutral,Insecure,Sometimes,Sometimes,Never,Sometimes,Very Optimistic,Mild
Overwhelming,Never,Dissatisfied,Very Negative,Secure,Never,Never,Never,Often,Very Optimistic,Mild
Very Manageable,Sometimes,Very Dissatisfied,Very Positive,Very Insecure,Sometimes,Never,Never,Sometimes,Optimistic,Mild
Very Manageable,Never,Very Satisfied,Generally Negative,Neutral,Always,Always,Never,Never,Pessimistic,Mild
Manageable,Often,Satisfied,Very Negative,Insecure,Always,Sometimes,Sometimes,Rarely,Optimistic,Mild
Manageable,Never,Very Satisfied,Very Positive,Very Secure,Always,Never,Often,Rarely,Neutral,Normal
Extremely Overwhelming,Sometimes,Very Satisfied,Very Positive,Neutral,Always,Often,Often,Often,Pessimistic,Mild
Overwhelming,Always,Very Satisfied,Generally Negative,Insecure,Never,Always,Often,Often,Very Optimistic,Moderate
Very Manageable,Always,Satisfied,Very Positive,Insecure,Never,Never,Often,Sometimes,Very Optimistic,Mild
Neutral,Often,Dissatisfied,Very Negative,Insecure,Always,Never,Often,Sometimes,Very Pessimistic,Moderate
Neutral,Sometimes,Neutral,Neutral,Very Secure,Rarely,Always,Sometimes,Rarely,Optimistic,Mild
Very Manageable,Sometimes,Satisfied,Very Positive,Neutral,Sometimes,Often,Often,Often,Very Optimistic,Mild
Neutral,Never,Very Dissatisfied,Very Positive,Very Secure,Always,Often,Always,Rarely,Pessimistic,Mild
Overwhelming,Rarely,Dissatisfied,Generally Positive,Very Insecure,Rarely,Often,Often,Never,Very Pessimistic,Moderate
Manageable,Rarely,Neutral,Very Positive,Insecure,Often,Always,Rarely,Sometimes,Very Optimistic,Mild
Extremely Overwhelming,Often,Very Satisfied,Very Positive,Insecure,Never,Sometimes,Sometimes,Never,Neutral,Mild
Extremely Overwhelming,Often,Dissatisfied,Generally Positive,Secure,Often,Always,Rarely,Often,Optimistic,Moderate
Manageable,Never,Neutral,Very Negative,Neutral,Rarely,Always,Sometimes,Rarely,Optimistic,Mild
Very Manageable,Never,Dissatisfied,Neutral,Insecure,Sometimes,Never,Always,Sometimes,Very Optimistic,Mild
Neutral,Rarely,Satisfied,Generally Positive,Very Secure,Always,Always,Often,Sometimes,Pessimistic,Mild
Extremely Overwhelming,Always,Neutral,Generally Negative,Very Secure,Often,Rarely,Never,Sometimes,Pessimistic,Mild
Very Manageable,Sometimes,Neutral,Generally Positive,Neutral,Never,Often,Always,Sometimes,Pessimistic,Moderate
Overwhelming,Often,Dissatisfied,Very Negative,Insecure,Always,Sometimes,Sometimes,Often,Very Optimistic,Moderate
Manageable,Rarely,Satisfied,Very Positive,Neutral,Often,Sometimes,Often,Sometimes,Pessimistic,Mild
Very Manageable,Sometimes,Very Dissatisfied,Very Positive,Very Insecure,Never,Always,Often,Sometimes,Very Pessimistic,Moderate
Extremely Overwhelming,Often,Satisfied,Generally Positive,Secure,Always,Rarely,Often,Often,Pessimistic,Mild
Neutral,Sometimes,Very Satisfied,Generally Positive,Very Insecure,Never,Rarely,Rarely,Sometimes,Very Optimistic,Mild
Neutral,Never,Satisfied,Very Negative,Neutral,Sometimes,Always,Sometimes,Often,Neutral,Moderate
Extremely Overwhelming,Never,Neutral,Generally Positive,Insecure,Often,Sometimes,Sometimes,Always,Neutral,Moderate
Extremely Overwhelming,Never,Very Dissatisfied,Very Negative,Neutral,Often,Rarely,Always,Sometimes,Pessimistic,Moderate
Manageable,Always,Dissatisfied,Neutral,Very Secure,Sometimes,Rarely,Rarely,Sometimes,Pessimistic,Mild
Overwhelming,Rarely,Very Satisfied,Neutral,Secure,Often,Often,Rarely,Never,Pessimistic,Mild
Overwhelming,Sometimes,Very Dissatisfied,Generally Negative,Very Insecure,Always,Never,Sometimes,Never,Very Optimistic,Mild
Overwhelming,Always,Satisfied,Very Negative,Very Secure,Always,Often,Rarely,Sometimes,Pessimistic,Moderate
Very Manageable,Rarely,Satisfied,Generally Negative,Very Secure,Always,Always,Often,Often,Neutral,Mild
Extremely Overwhelming,Always,Neutral,Neutral,Secure,Sometimes,Often,Always,Never,Very Optimistic,Moderate
Overwhelming,Sometimes,Very Satisfied,Generally Positive,Secure,Always,Rarely,Often,Always,Very Pessimistic,Mild
Overwhelming,Often,Neutral,Generally Negative,Insecure,Rarely,Sometimes,Rarely,Sometimes,Very Pessimistic,Moderate
Extremely Overwhelming,Rarely,Very Satisfied,Very Positive,Neutral,Never,Rarely,Rarely,Never,Very Optimistic,Mild
Overwhelming,Often,Satisfied,Very Positive,Secure,Rarely,Sometimes,Always,Rarely,Very Optimistic,Mild
Overwhelming,Often,Satisfied,Neutral,Very Insecure,Sometimes,Always,Never,Rarely,Neutral,Moderate
Extremely Overwhelming,Sometimes,Dissatisfied,Generally Negative,Neutral,Often,Sometimes,Rarely,Sometimes,Very Optimistic,Mild
Manageable,Never,Neutral,Generally Positive,Very Secure,Sometimes,Often,Often,Rarely,Pessimistic,Mild
Overwhelming,Rarely,Satisfied,Generally Negative,Neutral,Always,Often,Often,Never,Very Pessimistic,Mild
Extremely Overwhelming,Always,Very Dissatisfied,Generally Negative,Very Insecure,Never,Rarely,Sometimes,Rarely,Pessimistic,Moderate
Very Manageable,Sometimes,Satisfied,Generally Negative,Insecure,Often,Often,Rarely,Sometimes,Neutral,Mild
Very Manageable,Always,Very Dissatisfied,Generally Negative,Very Secure,Always,Always,Never,Sometimes,Pessimistic,Mild
Overwhelming,Often,Very Dissatisfied,Generally Negative,Very Secure,Rarely,Never,Always,Sometimes,Neutral,Moderate
Very Manageable,Always,Dissatisfied,Very Negative,Very Secure,Sometimes,Sometimes,Never,Often,Pessimistic,Moderate
Extremely Overwhelming,Sometimes,Neutral,Neutral,Very Secure,Always,Always,Rarely,Sometimes,Optimistic,Mild
Very Manageable,Always,Very Satisfied,Very Positive,Secure,Always,Rarely,Sometimes,Always,Optimistic,Mild
Manageable,Often,Satisfied,Very Positive,Secure,Rarely,Rarely,Often,Always,Very Pessimistic,Moderate
Very Manageable,Rarely,Very Dissatisfied,Neutral,Insecure,Sometimes,Always,Rarely,Always,Neutral,Moderate
Manageable,Rarely,Neutral,Generally Negative,Very Secure,Sometimes,Never,Always,Often,Very Optimistic,Mild
Manageable,Always,Very Dissatisfied,Very Positive,Neutral,Never,Sometimes,Sometimes,Always,Optimistic,Moderate
Very Manageable,Rarely,Dissatisfied,Generally Positive,Neutral,Never,Rarely,Always,Sometimes,Very Optimistic,Mild
Extremely Overwhelming,Sometimes,Satisfied,Generally Negative,Insecure,Sometimes,Sometimes,Rarely,Sometimes,Pessimistic,Moderate
Manageable,Sometimes,Very Dissatisfied,Generally Positive,Neutral,Sometimes,Always,Always,Always,Optimistic,Moderate
Overwhelming,Sometimes,Dissatisfied,Neutral,Secure,Rarely,Often,Sometimes,Always,Neutral,Moderate
